datetime,values
2025-05-13T22:00:00Z+0000,220.2
2025-05-13T22:10:00Z+0000,220.6
2025-05-13T22:20:00Z+0000,220.9
2025-05-13T22:30:00Z+0000,221.2
2025-05-13T22:40:00Z+0000,221.7
2025-05-13T22:50:00Z+0000,221.3
2025-05-13T23:00:00Z+0000,221.9
2025-05-13T23:10:00Z+0000,222.2
2025-05-13T23:20:00Z+0000,222.3
2025-05-13T23:30:00Z+0000,221.9
2025-05-13T23:40:00Z+0000,222.1
2025-05-13T23:50:00Z+0000,222.2
2025-05-14T00:00:00Z+0000,222.8
2025-05-14T00:10:00Z+0000,222.9
2025-05-14T00:20:00Z+0000,223.7
2025-05-14T00:30:00Z+0000,223.9
2025-05-14T00:40:00Z+0000,225.3
2025-05-14T00:50:00Z+0000,226.6
2025-05-14T01:00:00Z+0000,227.1
2025-05-14T01:10:00Z+0000,227.8
2025-05-14T01:20:00Z+0000,227.2
2025-05-14T01:30:00Z+0000,227.5
2025-05-14T01:40:00Z+0000,227.9
2025-05-14T01:50:00Z+0000,227.5
2025-05-14T02:00:00Z+0000,227.5
2025-05-14T02:10:00Z+0000,226.9
2025-05-14T02:20:00Z+0000,227.0
2025-05-14T02:30:00Z+0000,226.0
2025-05-14T02:40:00Z+0000,225.6
2025-05-14T02:50:00Z+0000,224.8
2025-05-14T03:00:00Z+0000,224.2
2025-05-14T03:10:00Z+0000,223.5
2025-05-14T03:20:00Z+0000,223.3
2025-05-14T03:30:00Z+0000,224.4
2025-05-14T03:40:00Z+0000,225.5
2025-05-14T03:50:00Z+0000,225.9
2025-05-14T04:00:00Z+0000,226.1
2025-05-14T04:10:00Z+0000,226.1
2025-05-14T04:20:00Z+0000,225.7
2025-05-14T04:30:00Z+0000,225.6
2025-05-14T04:40:00Z+0000,225.8
2025-05-14T04:50:00Z+0000,225.9
2025-05-14T05:00:00Z+0000,225.6
2025-05-14T05:10:00Z+0000,225.8
2025-05-14T05:20:00Z+0000,226.3
2025-05-14T05:30:00Z+0000,226.8
2025-05-14T05:40:00Z+0000,226.5
2025-05-14T05:50:00Z+0000,226.7
2025-05-14T06:00:00Z+0000,227.3
2025-05-14T06:10:00Z+0000,227.0
2025-05-14T06:20:00Z+0000,226.9
2025-05-14T06:30:00Z+0000,226.5
2025-05-14T06:40:00Z+0000,226.3
2025-05-14T06:50:00Z+0000,225.9
2025-05-14T07:00:00Z+0000,225.6
2025-05-14T07:10:00Z+0000,225.8
2025-05-14T07:20:00Z+0000,225.6
2025-05-14T07:30:00Z+0000,224.8
2025-05-14T07:40:00Z+0000,224.0
2025-05-14T07:50:00Z+0000,222.6
2025-05-14T08:00:00Z+0000,222.6
2025-05-14T08:10:00Z+0000,222.1
2025-05-14T08:20:00Z+0000,220.9
2025-05-14T08:30:00Z+0000,219.7
2025-05-14T08:40:00Z+0000,219.5
2025-05-14T08:50:00Z+0000,219.9
2025-05-14T09:00:00Z+0000,220.2
2025-05-14T09:10:00Z+0000,220.5
2025-05-14T09:20:00Z+0000,221.0
2025-05-14T09:30:00Z+0000,220.8
2025-05-14T09:40:00Z+0000,221.3
2025-05-14T09:50:00Z+0000,221.3
2025-05-14T10:00:00Z+0000,222.0
2025-05-14T10:10:00Z+0000,222.2
2025-05-14T10:20:00Z+0000,222.0
2025-05-14T10:30:00Z+0000,222.2
2025-05-14T10:40:00Z+0000,221.8
2025-05-14T10:50:00Z+0000,222.3
2025-05-14T11:00:00Z+0000,222.3
2025-05-14T11:10:00Z+0000,222.4
2025-05-14T11:20:00Z+0000,222.3
2025-05-14T11:30:00Z+0000,221.2
2025-05-14T11:40:00Z+0000,220.4
2025-05-14T11:50:00Z+0000,219.9
2025-05-14T12:00:00Z+0000,219.0
2025-05-14T12:10:00Z+0000,218.6
2025-05-14T12:20:00Z+0000,218.3
2025-05-14T12:30:00Z+0000,217.9
2025-05-14T12:40:00Z+0000,217.9
2025-05-14T12:50:00Z+0000,216.8
2025-05-14T13:00:00Z+0000,216.5
2025-05-14T13:10:00Z+0000,216.3
2025-05-14T13:20:00Z+0000,215.4
2025-05-14T13:30:00Z+0000,215.4
2025-05-14T13:40:00Z+0000,215.0
2025-05-14T13:50:00Z+0000,215.2
2025-05-14T14:00:00Z+0000,214.8
2025-05-14T14:10:00Z+0000,214.6
2025-05-14T14:20:00Z+0000,215.4
2025-05-14T14:30:00Z+0000,215.7
2025-05-14T14:40:00Z+0000,217.6
2025-05-14T14:50:00Z+0000,217.9
2025-05-14T15:00:00Z+0000,217.6
2025-05-14T15:10:00Z+0000,217.7
2025-05-14T15:20:00Z+0000,218.3
2025-05-14T15:30:00Z+0000,217.7
2025-05-14T15:40:00Z+0000,218.9
2025-05-14T15:50:00Z+0000,218.4
2025-05-14T16:00:00Z+0000,218.2
2025-05-14T16:10:00Z+0000,218.1
2025-05-14T16:20:00Z+0000,217.5
2025-05-14T16:30:00Z+0000,218.3
2025-05-14T16:40:00Z+0000,217.9
2025-05-14T16:50:00Z+0000,217.4
2025-05-14T17:00:00Z+0000,217.6
2025-05-14T17:10:00Z+0000,217.0
2025-05-14T17:20:00Z+0000,216.5
2025-05-14T17:30:00Z+0000,217.0
2025-05-14T17:40:00Z+0000,216.5
2025-05-14T17:50:00Z+0000,216.7
2025-05-14T18:00:00Z+0000,217.5
2025-05-14T18:10:00Z+0000,218.1
2025-05-14T18:20:00Z+0000,219.2
2025-05-14T18:30:00Z+0000,220.3
2025-05-14T18:40:00Z+0000,221.8
2025-05-14T18:50:00Z+0000,221.6
2025-05-14T19:00:00Z+0000,221.4
2025-05-14T19:10:00Z+0000,221.1
2025-05-14T19:20:00Z+0000,221.2
2025-05-14T19:30:00Z+0000,220.2
2025-05-14T19:40:00Z+0000,219.9
2025-05-14T19:50:00Z+0000,219.7
2025-05-14T20:00:00Z+0000,219.1
2025-05-14T20:10:00Z+0000,219.5
2025-05-14T20:20:00Z+0000,219.1
2025-05-14T20:30:00Z+0000,219.2
2025-05-14T20:40:00Z+0000,218.9
2025-05-14T20:50:00Z+0000,219.1
2025-05-14T21:00:00Z+0000,219.5
2025-05-14T21:10:00Z+0000,219.2
2025-05-14T21:20:00Z+0000,220.2
2025-05-14T21:30:00Z+0000,221.0
2025-05-14T21:40:00Z+0000,221.9
2025-05-14T21:50:00Z+0000,221.7
2025-05-14T22:00:00Z+0000,222.8
2025-05-14T22:10:00Z+0000,224.0
2025-05-14T22:20:00Z+0000,224.8
2025-05-14T22:30:00Z+0000,225.3
2025-05-14T22:40:00Z+0000,225.8
2025-05-14T22:50:00Z+0000,226.0
2025-05-14T23:00:00Z+0000,226.8
2025-05-14T23:10:00Z+0000,226.9
2025-05-14T23:20:00Z+0000,226.7
2025-05-14T23:30:00Z+0000,227.5
2025-05-14T23:40:00Z+0000,227.4
2025-05-14T23:50:00Z+0000,227.6
2025-05-15T00:00:00Z+0000,227.4
2025-05-15T00:10:00Z+0000,228.0
2025-05-15T00:20:00Z+0000,227.9
2025-05-15T00:30:00Z+0000,228.3
2025-05-15T00:40:00Z+0000,227.9
2025-05-15T00:50:00Z+0000,228.0
2025-05-15T01:00:00Z+0000,227.9
2025-05-15T01:10:00Z+0000,227.4
2025-05-15T01:20:00Z+0000,228.7
2025-05-15T01:30:00Z+0000,230.6
2025-05-15T01:40:00Z+0000,231.5
2025-05-15T01:50:00Z+0000,231.8
2025-05-15T02:00:00Z+0000,232.3
2025-05-15T02:10:00Z+0000,232.1
2025-05-15T02:20:00Z+0000,232.2
2025-05-15T02:30:00Z+0000,232.5
2025-05-15T02:40:00Z+0000,232.5
2025-05-15T02:50:00Z+0000,232.6
2025-05-15T03:00:00Z+0000,232.2
2025-05-15T03:10:00Z+0000,232.6
2025-05-15T03:20:00Z+0000,232.6
2025-05-15T03:30:00Z+0000,232.7
2025-05-15T03:40:00Z+0000,232.3
2025-05-15T03:50:00Z+0000,232.5
2025-05-15T04:00:00Z+0000,232.6
2025-05-15T04:10:00Z+0000,232.9
2025-05-15T04:20:00Z+0000,233.2
2025-05-15T04:30:00Z+0000,232.5
2025-05-15T04:40:00Z+0000,232.2
2025-05-15T04:50:00Z+0000,231.7
2025-05-15T05:00:00Z+0000,231.1
2025-05-15T05:10:00Z+0000,230.6
2025-05-15T05:20:00Z+0000,230.8
2025-05-15T05:30:00Z+0000,230.9
2025-05-15T05:40:00Z+0000,230.1
2025-05-15T05:50:00Z+0000,230.0
2025-05-15T06:00:00Z+0000,230.1
2025-05-15T06:10:00Z+0000,229.9
2025-05-15T06:20:00Z+0000,229.7
2025-05-15T06:30:00Z+0000,229.5
2025-05-15T06:40:00Z+0000,229.5
2025-05-15T06:50:00Z+0000,229.7
2025-05-15T07:00:00Z+0000,229.1
2025-05-15T07:10:00Z+0000,229.5
2025-05-15T07:20:00Z+0000,229.1
2025-05-15T07:30:00Z+0000,229.5
2025-05-15T07:40:00Z+0000,228.5
2025-05-15T07:50:00Z+0000,229.0
2025-05-15T08:00:00Z+0000,228.6
2025-05-15T08:10:00Z+0000,229.2
2025-05-15T08:20:00Z+0000,229.6
2025-05-15T08:30:00Z+0000,229.0
2025-05-15T08:40:00Z+0000,229.4
2025-05-15T08:50:00Z+0000,229.5
2025-05-15T09:00:00Z+0000,229.9
2025-05-15T09:10:00Z+0000,230.9
2025-05-15T09:20:00Z+0000,231.2
2025-05-15T09:30:00Z+0000,231.7
